pre_seg_id,post_seg_id,ei_type,pre_struc_type,post_struc_type,pair_count,pre_region,pre_type,post_region,post_type
90667582238,38159421626,2,axon,dendrite,1,Layer 3,pure axon fragment,Layer 4,pyramidal neuron
73406600990,2454238950,2,axon,dendrite,1,Layer 3,pure axon fragment,Layer 3,pyramidal neuron
4909587183,4836786953,1,axon,dendrite,1,Layer 5,majority axon fragment,Layer 6,pyramidal neuron
38364727912,29965283514,1,axon,dendrite,2,Layer 4,majority axon fragment,Layer 4,pyramidal neuron
4546051784,39104618608,1,axon,dendrite,1,Layer 5,pyramidal neuron,Layer 5,interneuron
103612639348,5890292881,2,axon,dendrite,1,Layer 4,pure axon fragment,Layer 4,pyramidal neuron
71890769038,36706127864,1,axon,axon,1,Layer 3,pure axon fragment,Layer 3,microglia/opc
40945206471,6314174393,2,axon,dendrite,1,Layer 3,pure axon fragment,Layer 3,pyramidal neuron
59402607546,59112033058,1,axon,dendrite,1,Layer 4,pure axon fragment,Layer 4,oligodendrocyte
81614159516,29251499540,2,axon,dendrite,1,Layer 3,pure axon fragment,Layer 3,pyramidal neuron
998212969,925485691,1,axon,dendrite,1,Layer 2,pure axon fragment,Layer 2,interneuron
10826277491,1858503339,1,axon,soma,1,Layer 2,pure axon fragment,Layer 2,pyramidal neuron
64204013884,1826264355,2,axon,dendrite,1,Layer 3,pure axon fragment,Layer 3,oligodendrocyte
37246481351,2090951917,2,axon,dendrite,1,Layer 2,pure axon fragment,Layer 2,pyramidal neuron
73012695600,28481501135,2,axon,dendrite,1,Layer 3,pure axon fragment,Layer 3,pyramidal neuron
63564344560,911073206,2,axon,dendrite,1,Layer 3,pure axon fragment,Layer 3,pyramidal neuron
84151637863,22748256410,2,axon,dendrite,1,Layer 2,pure axon fragment,Layer 3,pyramidal neuron
2670276310,2321165089,2,axon,dendrite,1,Layer 3,majority axon fragment,Layer 3,interneuron
40706655219,4619362213,2,axon,dendrite,1,Layer 5,pure axon fragment,Layer 5,excitatory/spiny neuron with atypical tree
68034382639,5075702217,2,axon,dendrite,1,Layer 4,pure axon fragment,Layer 5,pyramidal neuron
13628865660,3498487692,1,axon,dendrite,1,Layer 6,majority axon fragment,Layer 6,pyramidal neuron
75632188074,4491632837,2,axon,dendrite,1,Layer 4,pure axon fragment,Layer 4,interneuron
92952624704,4226582094,2,axon,dendrite,1,Layer 5,pure axon fragment,Layer 5,unclassified neuron
49490324049,31716688373,1,axon,dendrite,1,Layer 3,pure axon fragment,Layer 3,pyramidal neuron
